# Evidence Log: every load-bearing finding recorded with citation, confidence, and notes.
#
# Column Definitions:
# - timestamp: ISO-8601 UTC (YYYY-MM-DDTHH:MM:SSZ)
# - source_type: api_probe | code | doc | issue | memory
# - citation: source_id from source-register.csv (REQUIRED — must match an existing source_id row)
# - key_finding: One- or two-sentence finding. Specific. State the claim, source it, move on.
# - confidence: high | medium | low
#     * high   = directly observed in a probe transcript or single specific grep hit; reproducible.
#     * medium = synthesized across multiple sources or single authoritative doc claim.
#     * low    = memory claim not re-verified against current state; preserve with caveat.
# - notes: caveats, version constraints, alternative interpretations, deferred sub-questions.
#
# Usage:
#   - Append a row each time a load-bearing finding is established.
#   - The citation column references source-register.csv by source_id (one or more, comma-separated within the field if needed; quote the field).
#   - For api_probe findings: cite source_id of the endpoint AND inline the probe-transcript section reference if applicable.
#
# Validation: Every load-bearing claim in findings.md must trace to a row here (NFR-001).
timestamp,source_type,citation,key_finding,confidence,notes
2026-06-03T23:51:00Z,api_probe,vikunja-api-projects-webhooks,"Webhook endpoint GET /projects/1/webhooks returns HTTP 200 with empty array []. Server supports per-project webhooks (webhooks_enabled=true) but none are configured. Decision locked: polling-only per C-001.",high,observed (probe-transcripts.md Probe 11)
2026-06-03T23:51:00Z,api_probe,vikunja-api-tasks-updated-since,GET /tasks/all?updated_since=<ISO> is accepted and returns only tasks updated after the given timestamp; this is the primary delta-polling mechanism,high,observed (probe-transcripts.md Probe 12); re-verify ordering semantics in implementation
2026-06-03T23:51:00Z,memory,mem-reference-vikunja-id-vs-identifier,"id (integer, globally unique, immutable per task lifetime) is the correct stable identifier for cross-cycle re-identification. identifier (e.g. #1) is project-scoped and suitable only for human-readable UI references in WhatsApp pings.",high,cross-referenced with probe observations (id=1 stable across all probes)
2026-06-03T23:51:00Z,doc,doc-vikunja-task-model-research,"G6: is_archived field rejected by server-side filter (HTTP 400 / error 4019). Workaround: client-side filter. G7: compound AND (due_date<=X AND done=false) rejected. Workaround: enumerate then client-filter. Both fixed in issues #333 and #336.",high,documented in vikunja-task-model-research.md §Appendix G6/G7; fixed workarounds in production scripts
2026-06-03T23:51:00Z,doc,doc-vikunja-task-model-research,"Filter language supports: boolean equality/inequality, numeric comparisons, date math (now/d now-7d), combined AND. Labels filter requires numeric IDs. saved views per project carry filter expressions.",high,documented (vikunja-task-model-research.md §1.4)
2026-06-03T23:51:00Z,code,code-scripts-habits-record-completion,"habits/record_completion.py: three-write transaction — POST /tasks/<id> {done:true} + PUT /tasks/<id>/comments + JSONL append. Idempotent on task_id+date+state. HTTP client: urllib.request.",high,observed (scripts/habits/record_completion.py lines 8-9/214-215/268/277)
2026-06-03T23:51:00Z,code,code-scripts-habits-reconcile-completions,"habits/reconcile_completions.py: reads GET /projects + GET /projects/<id>/tasks; client-side filter (G7 workaround); detects done=true with no JSONL entry and backfills with source=vikunja-ui.",high,observed (scripts/habits/reconcile_completions.py lines 28/140-220)
2026-06-03T23:51:00Z,code,code-scripts-habits-set-due-dates,habits/set_due_dates.py: reads GET /projects + GET /projects/<id>/tasks; writes POST /tasks/{id} with updated due_date. Two URL bases: Tailscale HTTPS in some scripts vs direct IP HTTP in others.,high,observed (scripts/habits/set_due_dates.py lines 28-29/270-380)
2026-06-03T23:51:00Z,code,code-scripts-habits-sweeper,habits/sweeper.py: writes POST /tasks/{id} with due_date update on completion/reschedule events. Vikunja v0.24.6 partial update uses POST not PATCH/PUT.,high,observed (scripts/habits/sweeper.py lines 606-640/616)
2026-06-03T23:51:00Z,code,code-scripts-escalation-record,"escalation/record_completion.py: writes PATCH /tasks/{id} with done=true (for done state) or updated due_date (for rescheduled). Unlike habits, escalation uses PATCH not POST for task updates.",high,observed (scripts/escalation/record_completion.py lines 14-15/451-462)
2026-06-03T23:51:00Z,code,code-scripts-enrichment-record,"enrichment/record_completion.py: writes only PUT /tasks/{id}/comments (enrichment state comment). Does not PATCH task fields — comment-only write-path.",high,observed (scripts/enrichment/record_completion.py lines 11/481-505)
2026-06-03T23:51:00Z,code,code-scripts-security-vikunja-writer,"security/credential_health_check/vikunja_writer.py: reads GET /projects for inbox lookup; writes PUT /projects/{id}/tasks to create alert task. Different base URL pattern (Tailscale HTTPS constant).",high,observed (scripts/security/credential_health_check/vikunja_writer.py lines 19/105-144)
2026-06-03T23:51:00Z,code,code-scripts-signals-types,"Signal pipeline uses LogCursor dataclass (path/inode/byte_offset/mtime) as freshness pointer and SignalExtraction (signal_id/count_cycle/count_rolling/excerpts/last_event_at_utc/new_cursor) as extraction result. Pattern maps to sync architecture reconciliation cycle.",high,observed (scripts/openclaw/observation/signals/types.py lines 18-66)
2026-06-03T23:51:00Z,doc,doc-runbook-doc-auditor-driver-ops,"Doc-auditor driver writes last-tick.json to /data/services/openclaw/felix-doc-auditor-driver/last-tick.json after every tick (success or failure). Shape: {status, timestamp_utc, errors, next_tick_utc, judgment}. Directly reusable as health signal pattern for sync driver.",high,observed (docs/runbooks/doc-auditor-driver-ops.md lines 62-96)
2026-06-03T23:51:00Z,code,code-scripts-habits-schedule-loader,habits/schedule_loader.py is a pure-read config loader (no Vikunja API calls). Returns typed ScheduleEntry dataclasses from YAML. is_active_today() is deterministic. Not directly reusable for sync (entity list is static not dynamic).,high,observed (scripts/habits/schedule_loader.py lines 1-50/175-246)
2026-06-03T23:51:00Z,api_probe,vikunja-api-tasks-all,"habits-history.jsonl live format confirmed: {domain, task_id (int Vikunja id), title, date (for), state, source, note, timestamp (recorded)}. Append-only. Per-domain files under /data/services/openclaw/state/.",high,observed (office2:/data/services/openclaw/state/habits-history.jsonl head -2 on 2026-06-03)
2026-06-03T23:51:00Z,code,"code-scripts-habits-record-completion,code-scripts-escalation-record,code-scripts-enrichment-record","Two Vikunja base URL values in use across production scripts: https://office2.tail0f5f56.ts.net/api/v1 (HTTPS Tailscale) and http://100.92.197.90:3456/api/v1 (direct IP HTTP). Inconsistency is a latent fragility that sync architecture normalization should address.",medium,observed across multiple DEFAULT_BASE_URL constants; no functional impact currently
2026-06-03T23:51:00Z,code,code-scripts-habits-exclude-completed,"habits/exclude_completed.py: legacy v1 helper. Reads GET /tasks/<id>/comments; parses [Felix] YYYY-MM-DD|state comments in-Python. Superseded by JSONL-based approach (ADR-0002 Q5). Active deployment status on cron requires verification against live systemd units on office2.",medium,observed (scripts/habits/exclude_completed.py lines 14/60-97); active status deferred to implementation
2026-06-03T23:51:00Z,code,"code-scripts-habits-identify-workout,code-scripts-habits-migrate-schedule,code-scripts-vikunja-setup-goals,code-scripts-vikunja-revoke-tokens",Four additional files match the broad grep but are tooling-only (identify_workout_task: GET /tasks/<id> read-only helper; migrate_schedule: one-shot migration; setup_goals: provisioning; revoke_tokens: credential rotation). None are on the active sync code path.,low,observed (grep output spot-checked 2026-06-03)
2026-06-03T23:51:00Z,doc,adr-0002,"ADR-0002 Q4 (webhooks vs cron): polling wins; webhooks deferred. Re-evaluation criteria: sub-day reactivity valuable. Currently: webhook infrastructure exists (webhooks_enabled=true) but is unconfigured (GET /projects/1/webhooks → []). Polling is the correct current approach.",high,documented (adr-0002 §Q4); confirmed live (probe-transcripts.md Probe 11)
2026-06-03T23:51:00Z,doc,adr-0002,"ADR-0002 Q3 (history preservation): three-write transaction (done=true + comment + JSONL). JSONL is canonical history; Vikunja comment is UI mirror. Conflict-event log for sync architecture should extend this pattern with explicit event_id and schema_version fields.",high,documented (adr-0002 §Q3/Q5)
2026-06-03T23:51:00Z,memory,"mem-reference-felix-doc-auditor-ops,mem-feedback-signal-driven-doc-audit","All four existing Felix patterns (signal pipeline, doc-auditor driver, schedule_loader+reconcile, habits-history.jsonl) have extend verdict — none require replacement. Sync architecture can be built on existing infrastructure.",high,assessed across all four patterns in rq-5-pattern-fit.md
2026-06-04T00:00:00Z,code,code-scripts-habits-query-active-v1,"habits/query_active_habits.py (v1): reads GET /projects (project title lookup) + GET /projects/{id}/tasks?per_page=200. Same urllib.request pattern as v2 counterpart. Provides habits list with frequency filtering. Active deployment status (v1 vs v2 on cron) requires live office2 verification.",high,observed (scripts/habits/query_active_habits.py lines 56-57/62/86-92/116-136); inventoried as TP-18 in cycle 2 per Required-1 feedback
2026-06-04T00:00:00Z,code,code-scripts-vikunja-provision,"provision_felix_bot.py: three distinct callsite groups — (1) POST /register (register_felix_bot), (2) GET /projects?per_page=50 (enumerate_real_projects), (3) PUT /projects/{id}/users + GET /projects/{id}/users (share_project_with_user + verify_shares_applied). Split into TP-16A/B/C in cycle 2 per Required-2 feedback.",high,observed (scripts/vikunja/provision_felix_bot.py lines 266-540)
2026-06-04T00:00:00Z,code,code-scripts-vikunja-validate,"validate_felix_bot.py: two callsite groups — (1) GET /projects?per_page=50 (verify_project_access), (2) PUT /projects/{id}/tasks + PUT /tasks/{id}/comments + GET /tasks/{id}/comments + DELETE callsites (validate_attribution throwaway probe). Inventoried as TP-16D in cycle 2.",high,observed (scripts/vikunja/validate_felix_bot.py lines 185-424)
2026-06-04T00:00:00Z,code,code-scripts-vikunja-swap-secrets,"swap_vikunja_secrets.py: Vikunja API callsite is only in verify_attribution() — PUT /tasks/{id}/comments (probe write) + GET /tasks/{id}/comments/{id} (readback) + DELETE (cleanup). Core function is file-system atomic rotation. Inventoried as TP-16E in cycle 2.",high,observed (scripts/vikunja/swap_vikunja_secrets.py lines 420-530)
2026-06-04T00:00:00Z,doc,doc-vikunja-task-model-research,"Auth model: Bearer token with tk_ prefix. Long-lived token stored at /data/services/openclaw/secrets/vikunja-api. Re-tagged from observed to documented in cycle 2 per NFR-006 — no probe transcript captured token format; documented in vikunja-task-model-research.md §1.6 and confirmed by felix-bot provisioning mission.",medium,documented (vikunja-task-model-research.md §1.6 + adr-0002 §Q6); 43-char claim removed as it had no probe backing
2026-06-04T01:20:00Z,issue,issue-507,"Epic #507 enumerates 7 operator use cases (a-g) verbatim: (a) status change, (b) task delete, (c) task move, (d) new project, (e) bulk task move, (f) rename, (g) due_date override. These are the canonical requirements for use-case→layer mapping (RQ-4).",high,extracted verbatim from issue-507 body §Concrete use cases; basis for rq-4-use-case-mapping.md
2026-06-04T01:20:00Z,issue,issue-516,"Issue #516 defines three possible framework outcomes: (a) build sender contract + router primitives; (b) constitutional directive only — no framework; (c) close without framework — preserve inventory only. These three outcomes are the #516 forward-compat analysis scope for T008.",high,extracted from issue-516 body §Recommend (a/b/c); basis for conflict-event-log.sketch.md §Forward compatibility with #516
2026-06-04T01:20:00Z,memory,mem-feedback-idle-pings-acceptable,"NFR-003 noise floor: 4× daily IDLE WhatsApps from inbox-cron. This defines the upper bound for acceptable additional WhatsApp volume. Unsafe-class conflict pings must stay below this floor (≤1/day) to avoid degrading the existing WhatsApp UX.",medium,memory entry feedback_idle_pings_acceptable_for_now; not re-verified in live probes; caveat: if inbox-cron IDLE cadence changes this bound changes
2026-06-04T01:20:00Z,doc,doc-data-model,"data-model.md §Conflict Event defines required dimensions: event_id (idempotency anchor), ts_emitted_utc, ts_observed_utc, layer, vikunja_entity_id, felix_state_snapshot, vikunja_state_snapshot, diff_summary, conflict_class, resolution_decision, router_route_set, schema_version. WP02 conflict-event-log.sketch.md extends these dimensions into a full schema.",high,documented in kitty-specs data-model.md; basis for T007 schema
2026-06-04T01:20:00Z,doc,doc-data-model,"data-model.md §Unsafe-Class defines that each criterion must be testable from conflict-event fields alone (no out-of-band lookup). Starting list: kent_edit_after_felix_write / operator_authored_field / downstream_behavior_depends / manual_override_signal. All four included in WP02 RQ-3 analysis as UC-1 through UC-4.",high,documented in data-model.md §Unsafe-to-Auto-Resolve Class; basis for rq-3-conflict-policy.md §3
2026-06-04T01:20:00Z,code,code-scripts-habits-set-due-dates,"UC-1 worked example: TP-05 writes due_date via POST /tasks/{id} on all active habit tasks (set_due_dates.py reconcile_schedule PUT phase). If Kent manually sets due_date in Vikunja UI after morning cron, next reconciliation detects vikunja.updated > felix.ts_last_write_utc on due_date field — UC-1 fires.",high,observed (scripts/habits/set_due_dates.py lines 28-29/270-380); motivates kent_edit_after_felix_write criterion inclusion
2026-06-04T01:20:00Z,code,code-scripts-security-vikunja-writer,"UC-2 worked example: TP-13 vikunja_writer.py creates alert tasks in Inbox project. If operator already created a task with same title, created_by.username=kent — UC-2 (operator_authored_field) fires to prevent silent overwrite or duplication.",high,observed (scripts/security/credential_health_check/vikunja_writer.py lines 105-144); motivates operator_authored_field criterion inclusion
2026-06-04T01:20:00Z,code,code-scripts-habits-record-completion,"UC-3 worked example: TP-01 record_completion.py writes done=true to Vikunja. If Vikunja shows done=false while Felix cache says done=true (divergence), done is a downstream_behavior_depends field (morning check-in, sweeper) — UC-3 fires. Motivates downstream_behavior_depends field-list: done/done_at/due_date/repeat_after/repeat_mode/title.",high,observed (scripts/habits/record_completion.py lines 268/277); motivates downstream_behavior_depends criterion
2026-06-04T01:20:00Z,doc,"doc-data-model,issue-507","RQ-4 layer assignment: status layer covers use case (a); task layer covers (b)(c)(f)(g); project layer covers (d)(f); cross-layer covers (c)(e). All seven use cases mapped with detection mechanism via updated_since (task layer) or GET /projects (project layer).",high,synthesized from data-model.md §Sync Layer columns + issue-507 use cases; rq-4-use-case-mapping.md §2
2026-06-04T01:20:00Z,doc,"doc-data-model,vikunja-api-tasks-updated-since","Use case (b) deletion detection gap: GET /tasks/all?updated_since=<ts> does NOT surface deleted tasks (they are absent, not updated). Worst-case deletion detection latency = N×5min (N-cycle confirmation via GET /tasks/{id} → 404). With N=3, latency=15min > NFR-002 (5min). Gap documented — not silently resolved.",medium,absence-of-evidence from RQ-1 probes (no soft-delete or tombstone mechanism observed); C-006 prevents write-path verification; gap must be confirmed in implementation
2026-06-04T01:20:00Z,memory,"mem-feedback-idle-pings-acceptable,doc-data-model","NFR-003 volume estimate: 15 tasks × 3 Felix-writes/day × 5% Kent-edit probability × 75% unsafe fraction = ~1.69 unsafe-class pings/day without guards. Three guards (G-1: 24h per-field dedup; G-2: 30-min post-write suppression; G-3: hard daily cap) reduce to ≤1/day. NFR-003 passes with all guards active.",medium,back-of-envelope estimate; 5% Kent-edit probability is unobserved — must be calibrated against live steady-state data in implementation; guard mechanism directly reuses RQ-5 signal-pipeline count_rolling mechanism
